product_key,product_name,category,subcategory,cost,last_sales_date,Recency_in_month,Product_segment,Total_orders,Total_customers,Total_sales,Total_quantity,lifespan,avg_selling_price,avg_order_revenue,avg_monthly_revenue
294,Classic Vest- S,Clothing,Vests,24,2014-01-28,142, mid-Range,168,168,10944,171,13,64.0,65.14,841.85
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,2013-12-25,143, High_Performance,232,232,394632,232,12,1701.0,1701.0,32886.0
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,2013-12-23,143, High_Performance,151,150,359984,151,12,2384.0,2384.0,29998.67
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,2013-12-28,143, High_Performance,150,150,357600,150,12,2384.0,2384.0,29800.0
168,Bike Wash - Dissolver,Accessories,Cleaners,3,2014-01-28,142,low-performance,908,875,7272,909,12,8.0,8.01,606.0
282,LL Mountain Tire,Accessories,Tires and Tubes,9,2014-01-28,142, mid-Range,860,828,21550,862,12,25.0,25.06,1795.83
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,143, mid-Range,45,45,25425,45,11,565.0,565.0,2311.36
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,2013-12-27,143, High_Performance,160,160,381440,160,11,2384.0,2384.0,34676.36
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,142, mid-Range,429,426,21450,429,12,50.0,50.0,1787.5
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,2014-01-28,142, mid-Range,409,405,22086,409,12,54.0,54.0,1840.5
292,Classic Vest- L,Clothing,Vests,24,2014-01-28,142, mid-Range,195,195,12480,195,12,64.0,64.0,1040.0
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,2013-12-23,143, High_Performance,140,140,333760,140,11,2384.0,2384.0,30341.82
293,Classic Vest- M,Clothing,Vests,24,2014-01-27,142, mid-Range,199,199,12736,199,12,64.0,64.0,1061.33
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,2013-12-27,143, mid-Range,59,59,43778,59,11,742.0,742.0,3979.82
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,2013-12-27,143, High_Performance,216,216,367416,216,11,1701.0,1701.0,33401.45
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,143, mid-Range,45,45,25425,45,11,565.0,565.0,2311.36
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,143, mid-Range,58,58,31320,58,11,540.0,540.0,2847.27
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,143, mid-Range,56,56,30240,56,11,540.0,540.0,2749.09
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,143, High_Performance,148,148,113812,148,11,769.0,769.0,10346.55
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,2013-12-28,143, High_Performance,172,170,410048,172,11,2384.0,2384.0,37277.09
280,Racing Socks- M,Clothing,Socks,3,2014-01-28,142,low-performance,298,295,2682,298,12,9.0,9.0,223.5
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,2014-01-28,142, mid-Range,413,409,20700,414,12,50.0,50.12,1725.0
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,143, High_Performance,129,129,99201,129,11,769.0,769.0,9018.27
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,2013-12-28,143, High_Performance,88,88,106920,88,11,1215.0,1215.0,9720.0
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,143, High_Performance,138,138,106122,138,11,769.0,769.0,9647.45
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,2014-01-28,142, mid-Range,327,324,39240,327,12,120.0,120.0,3270.0
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,143, mid-Range,49,49,26460,49,11,540.0,540.0,2405.45
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,2013-12-23,143, mid-Range,48,48,35616,48,11,742.0,742.0,3237.82
273,Women's Mountain Shorts- M,Clothing,Shorts,26,2014-01-26,142, mid-Range,352,352,24640,352,12,70.0,70.0,2053.33
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,2013-12-27,143, mid-Range,57,57,42294,57,11,742.0,742.0,3844.91
272,Women's Mountain Shorts- L,Clothing,Shorts,26,2014-01-28,142, mid-Range,363,363,25410,363,12,70.0,70.0,2117.5
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,143, mid-Range,41,41,22140,41,11,540.0,540.0,2012.73
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,2013-12-28,143, mid-Range,53,53,39326,53,11,742.0,742.0,3575.09
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,143, mid-Range,50,50,28250,50,11,565.0,565.0,2568.18
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,143, mid-Range,48,48,27120,48,11,565.0,565.0,2465.45
274,Women's Mountain Shorts- S,Clothing,Shorts,26,2014-01-28,142, mid-Range,304,304,21280,304,12,70.0,70.0,1773.33
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,2013-12-26,143, mid-Range,50,50,37100,50,11,742.0,742.0,3372.73
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,2013-12-27,143, High_Performance,158,158,376672,158,11,2384.0,2384.0,34242.91
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,2013-12-09,143, mid-Range,48,48,35616,48,11,742.0,742.0,3237.82
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,2013-12-28,143, mid-Range,59,59,43778,59,11,742.0,742.0,3979.82
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,2013-12-23,143, mid-Range,64,64,47488,64,11,742.0,742.0,4317.09
